,title,writer,main_idea,genre,category,short_description
91,سگ باسکرویل‌ها,آرتور کانن دویل,شرلوک هولمز و دکتر واتسون باید معمای مرگ‌های مرموز در خانواده باسکرویل را حل کنند.,کارآگاهی,رمان,شرلوک هولمز و دکتر واتسون به دشت‌های مه‌آلود باسکرویل سفر می‌کنند تا راز مرگ‌های مرموز و افسانه‌ای که خانواده باسکرویل را تهدید می‌کند، کشف کنند.
92,دختر گمشده,گیلیان فلین,نیک دان باید معمای ناپدید شدن همسرش، ایمی، را حل کند.,کارآگاهی,رمان,در این داستان پیچیده و پر از تعلیق، نیک دان با ناپدید شدن ناگهانی همسرش، ایمی، مواجه می‌شود و باید با استفاده از سرنخ‌های موجود، حقیقت را کشف کند.
93,بوف کور,صادق هدایت,تنهایی و بیگانگی انسان در دنیای مدرن,رمان,داستان,بوف کور یکی از معروف‌ترین آثار ادبیات معاصر ایران است که به بررسی تنهایی و بیگانگی انسان در دنیای مدرن می‌پردازد.
94,کلیدر,محمود دولت‌آبادی,مبارزه و مقاومت در برابر ظلم و ستم,رمان,داستان,کلیدر یک رمان حماسی است که داستان زندگی یک خانواده روستایی در خراسان را روایت می‌کند و به مبارزه و مقاومت در برابر ظلم و ستم می‌پردازد.
95,شازده احتجاب,هوشنگ گلشیری,زوال و انحطاط یک خاندان اشرافی,رمان,داستان,شازده احتجاب داستان زوال و انحطاط یک خاندان اشرافی در دوران قاجار را به تصویر می‌کشد و به بررسی روانشناسی شخصیت‌ها می‌پردازد.
96,زندگی من,هلن کلر,غلبه بر ناتوانی‌ها و دستیابی به موفقیت,بیوگرافی,زندگی‌نامه,این کتاب داستان زندگی هلن کلر، زنی که با وجود نابینایی و ناشنوایی به موفقیت‌های بزرگی دست یافت، را روایت می‌کند.
97,راه طولانی به سوی آزادی,نلسون ماندلا,مبارزه برای آزادی و عدالت,بیوگرافی,زندگی‌نامه,این کتاب زندگی‌نامه نلسون ماندلا، رهبر مبارزه ضد آپارتاید در آفریقای جنوبی و اولین رئیس‌جمهور سیاه‌پوست این کشور، را به تصویر می‌کشد.
98,استیو جابز,والتر آیزاکسون,نوآوری و کارآفرینی در دنیای فناوری,بیوگرافی,زندگی‌نامه,این کتاب به زندگی و کارهای استیو جابز، بنیان‌گذار اپل و یکی از بزرگترین نوآوران عصر دیجیتال، می‌پردازد.
99,انسان در جستجوی معنا,ویکتور فرانکل,یافتن معنا در زندگی حتی در سخت‌ترین شرایط,روانشناسی,خودشناسی,این کتاب تجربیات نویسنده در اردوگاه‌های کار اجباری نازی‌ها را شرح می‌دهد و به اهمیت یافتن معنا در زندگی می‌پردازد.
100,چه کسی پنیر مرا جابجا کرد؟,اسپنسر جانسون,پذیرش تغییرات و یافتن راه‌های جدید برای موفقیت,روانشناسی,خودشناسی,این کتاب به صورت داستانی ساده و آموزنده به ما می‌آموزد که چگونه با تغییرات در زندگی مواجه شویم و از آن‌ها بهره‌برداری کنیم.
101,چهار اثر از فلورانس اسکاول شین,فلورانس اسکاول شین,قدرت کلمات و افکار در شکل‌دهی به زندگی,روانشناسی,خودشناسی,این کتاب مجموعه‌ای از چهار اثر نویسنده است که به اهمیت کلمات و افکار مثبت در زندگی و موفقیت فردی می‌پردازد.
102,جنایت و مکافات,فیودور داستایوفسکی,تضاد اخلاقی و روانی یک مرد پس از ارتکاب قتل,رمان,رمان کلاسیک,این کتاب داستان راسکولنیکوف، دانشجوی فقیری است که به دلیل مشکلات مالی و فلسفی، تصمیم به قتل یک رباخوار می‌گیرد و پس از آن با عواقب روانی و اخلاقی این عمل مواجه می‌شود.
103,غرور و تعصب,جین آستن,تضادهای اجتماعی و عاشقانه در جامعه انگلیسی قرن نوزدهم,رمان,رمان کلاسیک,این کتاب داستان الیزابت بنت و خانواده‌اش را روایت می‌کند که در جامعه‌ای پر از تعصبات طبقاتی و اجتماعی زندگی می‌کنند. الیزابت با آقای دارسی، مردی ثروتمند و مغرور، آشنا می‌شود و داستان عشق و تضادهای آنها به تصویر کشیده می‌شود.
104,بینوایان,ویکتور هوگو,مبارزه برای عدالت و انسانیت در برابر فقر و بی‌عدالتی,رمان,رمان کلاسیک,این کتاب داستان ژان والژان، مردی که به دلیل دزدیدن یک تکه نان به زندان افتاده و پس از آزادی تلاش می‌کند زندگی جدیدی را آغاز کند، روایت می‌کند. داستان در پس‌زمینه انقلاب فرانسه و مبارزات اجتماعی و سیاسی آن زمان قرار دارد.
105,سفرنامه ناصرخسرو,ناصرخسرو قبادیانی,سفر به سرزمین‌های اسلامی و مشاهده فرهنگ‌ها و آداب و رسوم مختلف,سفرنامه,ادبیات کلاسیک,این کتاب شامل مشاهدات و تجربیات ناصرخسرو در طول سفر هفت ساله‌اش به سرزمین‌های اسلامی است. او در این سفر به بررسی فرهنگ‌ها، آداب و رسوم و وضعیت اجتماعی و اقتصادی مناطق مختلف می‌پردازد.
106,سفرنامه مارکوپولو,مارکوپولو,سفر به شرق دور و کشف سرزمین‌های ناشناخته,سفرنامه,ادبیات جهان,این کتاب داستان سفرهای مارکوپولو به چین و دیگر مناطق شرق دور است. او در این سفرها به توصیف فرهنگ‌ها، آداب و رسوم و جغرافیای این مناطق می‌پردازد و تجربیات خود را با خوانندگان به اشتراک می‌گذارد.
107,سفرنامه ابن بطوطه,ابن بطوطه,سفر به سرزمین‌های اسلامی و غیر اسلامی و مشاهده تنوع فرهنگی,سفرنامه,ادبیات کلاسیک,این کتاب شامل مشاهدات و تجربیات ابن بطوطه در طول سفرهای طولانی‌اش به مناطق مختلف جهان است. او در این سفرها به بررسی فرهنگ‌ها، آداب و رسوم و وضعیت اجتماعی و اقتصادی مناطق مختلف می‌پردازد.
108,اثر مرکب,دارن هاردی,تأثیر تصمیمات کوچک و مداوم بر موفقیت,خودیاری,توسعه فردی,این کتاب به بررسی چگونگی تأثیر تصمیمات کوچک و مداوم بر موفقیت و زندگی افراد می‌پردازد و نشان می‌دهد که چگونه می‌توان با تغییرات کوچک به نتایج بزرگ دست یافت.
109,قدرت عادت,چارلز داهیگ,نقش عادت‌ها در زندگی و چگونگی تغییر آن‌ها,خودیاری,روانشناسی,این کتاب به بررسی علم عادت‌ها و نقش آن‌ها در زندگی روزمره می‌پردازد و راهکارهایی برای تغییر عادت‌های منفی و ایجاد عادت‌های مثبت ارائه می‌دهد.
110,چهار اثر از فلورانس اسکاول شین,فلورانس اسکاول شین,قدرت کلمات و افکار در شکل‌دهی به زندگی,خودیاری,معنویت و رشد شخصی,این کتاب شامل چهار اثر از فلورانس اسکاول شین است که به بررسی قدرت کلمات و افکار در شکل‌دهی به زندگی و دستیابی به موفقیت و خوشبختی می‌پردازد.
111,هری پاتر و سنگ جادو,جی. کی. رولینگ,ماجراجویی و جادوگری,فانتزی,رمان نوجوانان,هری پاتر، پسری یتیم که در روز تولد یازدهم خود متوجه می‌شود که یک جادوگر است و به مدرسه جادوگری هاگوارتز دعوت می‌شود.
112,هری پاتر و تالار اسرار,جی. کی. رولینگ,ماجراجویی و جادوگری,فانتزی,رمان نوجوانان,در سال دوم تحصیل هری در هاگوارتز، او و دوستانش با تالار اسرار و موجودات خطرناک آن روبرو می‌شوند.
113,هری پاتر و زندانی آزکابان,جی. کی. رولینگ,ماجراجویی و جادوگری,فانتزی,رمان نوجوانان,در سال سوم تحصیل هری، او با زندانی فراری سیریوس بلک و رازهای تاریک گذشته خود مواجه می‌شود.
114,صد سال تنهایی,گابریل گارسیا مارکز,تاریخچه و سرنوشت یک خانواده در یک دهکده خیالی,رئالیسم جادویی,رمان,این کتاب داستان چند نسل از خانواده بوئندیا را در دهکده خیالی ماکوندو روایت می‌کند و به بررسی موضوعاتی چون عشق، تنهایی و سرنوشت می‌پردازد.
115,بیگانه,آلبر کامو,پوچی و بی‌معنایی زندگی,فلسفی,رمان,این کتاب داستان مردی به نام مرسو را روایت می‌کند که به دلیل بی‌تفاوتی و عدم احساسات انسانی، به قتل محکوم می‌شود و در نهایت با پوچی زندگی مواجه می‌شود.
116,پیرمرد و دریا,ارنست همینگوی,مبارزه انسان با طبیعت و سرنوشت,ادبیات کلاسیک,رمان,این کتاب داستان پیرمردی ماهیگیر به نام سانتیاگو را روایت می‌کند که پس از روزها تلاش، موفق به صید یک ماهی بزرگ می‌شود و در نهایت با چالش‌های زیادی مواجه می‌شود.
117,انسان در جستجوی معنا,ویکتور فرانکل,یافتن معنا در زندگی حتی در شرایط سخت,روانشناسی,خودشناسی و رشد فردی,این کتاب تجربه‌های نویسنده در اردوگاه‌های کار اجباری نازی‌ها را شرح می‌دهد و نشان می‌دهد که چگونه یافتن معنا در زندگی می‌تواند به انسان کمک کند تا از سختی‌ها عبور کند.
118,هنر شاد زیستن,دالایی لاما و هوارد کاتلر,ترکیب فلسفه بودایی و روانشناسی مدرن برای دستیابی به شادی,روانشناسی,خودشناسی و رشد فردی,این کتاب به بررسی راه‌های مختلف برای دستیابی به شادی و رضایت در زندگی می‌پردازد و از ترکیب فلسفه بودایی و روانشناسی مدرن بهره می‌برد.
119,قدرت حال,اکهارت تول,زندگی در لحظه حال برای دستیابی به آرامش و شادی,روانشناسی,خودشناسی و رشد فردی,این کتاب به اهمیت زندگی در لحظه حال و رهایی از افکار منفی و نگرانی‌های گذشته و آینده می‌پردازد و راهکارهایی برای دستیابی به آرامش و شادی ارائه می‌دهد.
120,صد سال تنهایی,گابریل گارسیا مارکز,تنهایی و تلاش برای یافتن معنا در زندگی,رئالیسم جادویی,رمان,این کتاب داستان چند نسل از خانواده بوئندیا را روایت می‌کند که در دهکده‌ای خیالی به نام ماکوندو زندگی می‌کنند. این داستان به بررسی تنهایی و تلاش انسان‌ها برای یافتن معنا در زندگی می‌پردازد.
121,کافکا در کرانه,هاروکی موراکامی,جستجوی هویت و معنای زندگی,فانتزی و رئالیسم جادویی,رمان,این کتاب داستان دو شخصیت اصلی، کافکا تامورا و ساتورو ناکاتا، را دنبال می‌کند که هر کدام به دنبال هویت و معنای زندگی خود هستند. داستان با عناصر فانتزی و رئالیسم جادویی ترکیب شده است.
122,شب‌های روشن,فیودور داستایوفسکی,تنهایی و امید به عشق,رمانتیک,داستان کوتاه,این داستان کوتاه درباره مردی تنها است که در شب‌های روشن سن پترزبورگ با زنی آشنا می‌شود و به او دل می‌بندد. این داستان به بررسی تنهایی و امید به عشق می‌پردازد.
123,هنر شادمانی,دالایی لاما,یافتن شادمانی درونی از طریق تمرین ذهنی و معنوی,خودشناسی,روانشناسی,این کتاب به بررسی راه‌های مختلف برای دستیابی به شادمانی پایدار و درونی می‌پردازد و از تجربیات و آموزه‌های دالایی لاما بهره می‌برد.
124,قدرت حال,اکهارت توله,زندگی در لحظه حال به عنوان کلید شادمانی و آرامش,خودشناسی,روانشناسی,این کتاب به خوانندگان کمک می‌کند تا از طریق تمرکز بر لحظه حال و رهایی از افکار منفی، به شادمانی و آرامش دست یابند.
125,شادمانی حقیقی,مارتین سلیگمن,یافتن شادمانی از طریق شناخت و استفاده از نقاط قوت فردی,خودشناسی,روانشناسی مثبت‌گرا,این کتاب به بررسی روش‌های علمی و عملی برای دستیابی به شادمانی پایدار از طریق شناخت و تقویت نقاط قوت فردی می‌پردازد.
126,دختری در قطار,پائولا هاوکینز,یک زن که هر روز با قطار به محل کارش می‌رود، شاهد اتفاقات مشکوکی می‌شود که زندگی‌اش را تغییر می‌دهد.,هیجان‌انگیز,رمان,این کتاب داستان زنی به نام ریچل است که هر روز با قطار به محل کارش می‌رود و از پنجره قطار زندگی دیگران را مشاهده می‌کند. یک روز او شاهد اتفاقی مشکوک می‌شود که او را درگیر یک ماجرای پیچیده و خطرناک می‌کند.
127,اتاق,اما داناهیو,یک مادر و پسر که در یک اتاق کوچک زندانی شده‌اند، تلاش می‌کنند تا از دست اسیرکننده‌شان فرار کنند.,هیجان‌انگیز,رمان,این کتاب داستان مادری به نام جوی و پسرش جک است که در یک اتاق کوچک زندانی شده‌اند. جوی تلاش می‌کند تا جک را از واقعیت تلخ زندگیشان دور نگه دارد و در عین حال نقشه‌ای برای فرار از دست اسیرکننده‌شان می‌کشد.
128,دروغ‌های کوچک بزرگ,لیان موریارتی,زندگی سه زن که درگیر رازها و دروغ‌های پیچیده‌ای هستند که به یک حادثه مرگبار منجر می‌شود.,هیجان‌انگیز,رمان,این کتاب داستان سه زن به نام‌های مدی، سلست و جین است که هر کدام با مشکلات و رازهای خود دست و پنجه نرم می‌کنند. دروغ‌ها و رازهای آن‌ها به تدریج آشکار می‌شود و به یک حادثه مرگبار در مدرسه فرزندانشان منجر می‌شود.
129,هنر شاد زیستن,اندرو متیوس,یافتن شادی و آرامش در زندگی روزمره,خودشناسی,روانشناسی,این کتاب به شما کمک می‌کند تا با تغییر نگرش و دیدگاه‌های خود، شادی و آرامش بیشتری در زندگی خود پیدا کنید.
130,چهار اثر از فلورانس اسکاول شین,فلورانس اسکاول شین,قدرت کلمات و افکار مثبت در ایجاد زندگی بهتر,خودشناسی,روانشناسی,این کتاب شامل چهار اثر معروف فلورانس اسکاول شین است که به شما نشان می‌دهد چگونه با استفاده از کلمات و افکار مثبت می‌توانید زندگی خود را بهبود بخشید.
131,قدرت حال,اکهارت تول,زندگی در لحظه حال و رهایی از افکار منفی,خودشناسی,روانشناسی,این کتاب به شما می‌آموزد که چگونه با تمرکز بر لحظه حال و رهایی از افکار منفی، به آرامش و شادی بیشتری دست یابید.
132,سمفونی مردگان,عباس معروفی,تضاد بین سنت و مدرنیته,رمان,ادبیات معاصر,این کتاب داستان خانواده‌ای در اردبیل را روایت می‌کند که درگیر تضادهای فرهنگی و اجتماعی هستند. نویسنده با نگاهی عمیق به شخصیت‌ها و روابط آن‌ها، به بررسی تأثیرات این تضادها بر زندگی افراد می‌پردازد.
133,چشم‌هایش,بزرگ علوی,عشق و سیاست,رمان,ادبیات معاصر,این کتاب داستان عشق یک زن به یک نقاش معروف و مبارز سیاسی را روایت می‌کند. نویسنده با نگاهی دقیق به جزئیات، به بررسی تأثیرات عشق و سیاست بر زندگی افراد می‌پردازد.
134,بوف کور,صادق هدایت,تنهایی و بیگانگی,رمان,ادبیات کلاسیک,این کتاب داستان مردی را روایت می‌کند که در تنهایی و بیگانگی خود غرق شده است. نویسنده با نگاهی فلسفی و روانشناختی به بررسی احساسات و افکار این مرد می‌پردازد.
135,رهایی از احساس گناه,جان برادشاو,چگونه احساس گناه را شناسایی و مدیریت کنیم,روانشناسی,خودشناسی و رشد فردی,این کتاب به بررسی ریشه‌های احساس گناه و راه‌های مقابله با آن می‌پردازد و به خوانندگان کمک می‌کند تا با احساسات منفی خود بهتر کنار بیایند.
136,هنر شاد زیستن,دالایی لاما و هوارد کاتلر,یافتن شادی و آرامش درونی,روانشناسی,خودشناسی و رشد فردی,این کتاب به بررسی راه‌های مختلف برای یافتن شادی و آرامش درونی می‌پردازد و به خوانندگان کمک می‌کند تا احساس گناه و استرس را کاهش دهند.
137,زندگی بدون احساس گناه,لوئیز هی,تغییر الگوهای فکری منفی,روانشناسی,خودشناسی و رشد فردی,این کتاب به خوانندگان نشان می‌دهد که چگونه می‌توانند الگوهای فکری منفی خود را تغییر دهند و زندگی بدون احساس گناه را تجربه کنند.
138,قدرت مثبت اندیشی,نورمن وینسنت پیل,تأثیر مثبت اندیشی بر زندگی و موفقیت,خودیاری,روانشناسی,این کتاب به بررسی قدرت تفکر مثبت و تأثیر آن بر زندگی فردی و حرفه‌ای می‌پردازد و راهکارهایی برای بهبود نگرش و افزایش امیدواری ارائه می‌دهد.
139,انسان در جستجوی معنا,ویکتور فرانکل,یافتن معنا در زندگی حتی در شرایط سخت,خودزندگی‌نامه,روانشناسی,این کتاب تجربه‌های نویسنده در اردوگاه‌های کار اجباری نازی‌ها را روایت می‌کند و نشان می‌دهد که چگونه یافتن معنا در زندگی می‌تواند به انسان امید و انگیزه بدهد.
140,چهار اثر از فلورانس اسکاول شین,فلورانس اسکاول شین,قدرت کلمات و افکار مثبت در خلق زندگی بهتر,خودیاری,روانشناسی,این کتاب مجموعه‌ای از چهار اثر نویسنده است که به بررسی تأثیر کلمات و افکار مثبت بر زندگی و موفقیت فردی می‌پردازد و راهکارهایی برای افزایش امیدواری و بهبود زندگی ارائه می‌دهد.
141,درخشش,استیون کینگ,یک خانواده به هتلی دورافتاده می‌روند که در آن نیروهای فراطبیعی و وحشتناک به تدریج بر آنها تأثیر می‌گذارند.,وحشت,رمان,این داستان درباره جک تورنس، نویسنده‌ای است که به همراه خانواده‌اش به هتلی دورافتاده می‌رود تا به عنوان سرایدار زمستانی کار کند. اما هتل دارای تاریخچه‌ای تاریک و نیروهای فراطبیعی است که به تدریج جک را به جنون می‌کشانند.
142,خانه‌ای در خیابان مانگو,مارک ز. دانیلوفسکی,یک خانواده به خانه‌ای جدید نقل مکان می‌کنند که به نظر می‌رسد بزرگتر از آن چیزی است که از بیرون به نظر می‌رسد و دارای رازهای تاریک و وحشتناک است.,وحشت,رمان,این کتاب داستان خانواده‌ای را روایت می‌کند که به خانه‌ای جدید نقل مکان می‌کنند و متوجه می‌شوند که خانه دارای اتاق‌ها و راهروهای مخفی است که به نظر می‌رسد به ابعاد دیگری متصل هستند. این کشف‌ها به تدریج به وحشت و جنون منجر می‌شود.
143,پرونده‌های دراکولا,برام استوکر,یک وکیل جوان به قلعه دراکولا در ترانسیلوانیا می‌رود و متوجه می‌شود که دراکولا یک خون‌آشام است که قصد دارد به لندن برود و مردم را به خون‌آشام تبدیل کند.,وحشت,رمان,این کتاب کلاسیک داستان جاناتان هارکر، وکیل جوانی را روایت می‌کند که به قلعه دراکولا می‌رود تا به یک معامله ملکی کمک کند. اما به زودی متوجه می‌شود که دراکولا یک خون‌آشام است و قصد دارد به لندن برود تا مردم را به خون‌آشام تبدیل کند. هارکر و دوستانش باید تلاش کنند تا جلوی او را بگیرند.
144,جرأت داشته باش,سوزان جفرز,غلبه بر ترس و افزایش اعتماد به نفس,خودشناسی,روانشناسی,این کتاب به شما کمک می‌کند تا با ترس‌های خود مواجه شوید و اعتماد به نفس خود را افزایش دهید. نویسنده با ارائه تکنیک‌ها و راهکارهای عملی، شما را در مسیر رشد شخصی و حرفه‌ای هدایت می‌کند.
145,قدرت اعتماد به نفس,برایان تریسی,توسعه اعتماد به نفس و دستیابی به موفقیت,خودشناسی,روانشناسی,برایان تریسی در این کتاب به شما نشان می‌دهد که چگونه می‌توانید اعتماد به نفس خود را تقویت کنید و به اهداف خود برسید. او با ارائه مثال‌ها و داستان‌های واقعی، شما را در مسیر موفقیت همراهی می‌کند.
146,اعتماد به نفس نامحدود,رابرت آنتونی,ایجاد اعتماد به نفس پایدار و قوی,خودشناسی,روانشناسی,این کتاب به شما کمک می‌کند تا اعتماد به نفس نامحدودی را در خود ایجاد کنید. نویسنده با ارائه تمرین‌ها و تکنیک‌های مختلف، شما را در مسیر دستیابی به اعتماد به نفس پایدار و قوی هدایت می‌کند.
147,تفکر، سریع و کند,دنیل کانمن,بررسی دو سیستم تفکر انسان: سیستم سریع و شهودی و سیستم کند و منطقی,روانشناسی,خطاهای شناختی,این کتاب به بررسی نحوه تصمیم‌گیری انسان‌ها و خطاهای شناختی که در این فرآیند رخ می‌دهد، می‌پردازد.
148,خطاهای شناختی,دیوید مک‌رینی,شناخت و تحلیل خطاهای شناختی که در تفکر و تصمیم‌گیری انسان‌ها رخ می‌دهد,روانشناسی,خطاهای شناختی,این کتاب به معرفی و توضیح انواع خطاهای شناختی و تأثیر آن‌ها بر زندگی روزمره انسان‌ها می‌پردازد.
149,نابخردی‌های پیش‌بینی‌پذیر,دن آریلی,بررسی رفتارهای غیرمنطقی انسان‌ها و دلایل پشت آن‌ها,روانشناسی,خطاهای شناختی,این کتاب به تحلیل رفتارهای غیرمنطقی و خطاهای شناختی که در تصمیم‌گیری‌های روزمره انسان‌ها رخ می‌دهد، می‌پردازد.
150,تاریخ هنر,ارنست گامبریچ,بررسی جامع تاریخ هنر از دوران باستان تا دوران معاصر,غیرداستانی,تاریخ هنر,این کتاب یکی از معتبرترین منابع در زمینه تاریخ هنر است که به بررسی تحولات و تغییرات هنر در طول تاریخ می‌پردازد.
151,هنر در گذر زمان,هلن گاردنر,تحلیل و بررسی هنر در دوره‌های مختلف تاریخی,غیرداستانی,تاریخ هنر,این کتاب به تحلیل و بررسی هنر در دوره‌های مختلف تاریخی از دوران باستان تا دوران معاصر می‌پردازد و به عنوان یکی از منابع معتبر در این زمینه شناخته می‌شود.
152,تاریخ هنر جهان,هیو آنر و جان فلمینگ,بررسی تطبیقی هنر در فرهنگ‌ها و تمدن‌های مختلف,غیرداستانی,تاریخ هنر,این کتاب به بررسی تطبیقی هنر در فرهنگ‌ها و تمدن‌های مختلف می‌پردازد و به عنوان یکی از منابع جامع و معتبر در زمینه تاریخ هنر شناخته می‌شود.
153,سینما و زندگی,عباس کیارستمی,ارتباط بین سینما و زندگی روزمره,مستند,سینما,این کتاب به بررسی تأثیر سینما بر زندگی روزمره و بالعکس می‌پردازد و تجربیات شخصی نویسنده را در این زمینه به اشتراک می‌گذارد.
154,تاریخ سینما,دیوید بوردول و کریستین تامسون,بررسی تاریخچه سینما از آغاز تا کنون,تاریخی,سینما,این کتاب به بررسی تاریخچه سینما از آغاز تا کنون می‌پردازد و تحولات و تغییرات مهم در این صنعت را مورد بررسی قرار می‌دهد.
155,زبان سینما,کریستین متز,تحلیل زبان و نشانه‌شناسی در سینما,نظری,سینما,این کتاب به بررسی زبان و نشانه‌شناسی در سینما می‌پردازد و تحلیل‌های عمیقی از نحوه ارتباط و انتقال معنا در فیلم‌ها ارائه می‌دهد.
156,دنیای سوفی,یوستین گردر,آشنایی با تاریخ فلسفه از طریق داستانی جذاب,رمان فلسفی,فلسفه,این کتاب داستان دختری به نام سوفی را روایت می‌کند که با دریافت نامه‌های مرموزی وارد دنیای فلسفه می‌شود و با تاریخ و مفاهیم فلسفی آشنا می‌گردد.
157,جمهور,افلاطون,بررسی عدالت و ساختار ایده‌آل جامعه,گفتگوهای فلسفی,فلسفه,این کتاب یکی از مهم‌ترین آثار افلاطون است که در قالب گفتگوهای سقراط به بررسی مفاهیم عدالت، حکومت و جامعه ایده‌آل می‌پردازد.
158,چنین گفت زرتشت,فریدریش نیچه,بیان فلسفه نیچه از طریق داستانی نمادین,رمان فلسفی,فلسفه,این کتاب به صورت داستانی نمادین نوشته شده و در آن نیچه از زبان زرتشت به بیان فلسفه خود درباره انسان، اخلاق و فراسوی نیک و بد می‌پردازد.
159,انسان در جستجوی معنا,ویکتور فرانکل,یافتن معنا در زندگی حتی در سخت‌ترین شرایط,روانشناسی,خودشناسی و رشد فردی,این کتاب تجربیات نویسنده در اردوگاه‌های کار اجباری نازی‌ها را شرح می‌دهد و نشان می‌دهد که چگونه یافتن معنا در زندگی می‌تواند به انسان کمک کند تا از سخت‌ترین شرایط عبور کند.
160,تفکر، سریع و کند,دنیل کانمن,توضیح دو سیستم تفکر انسان: سریع و شهودی در مقابل کند و منطقی,روانشناسی,شناخت و تصمیم‌گیری,این کتاب به بررسی دو سیستم تفکر انسان می‌پردازد و نشان می‌دهد که چگونه این دو سیستم بر تصمیم‌گیری‌ها و رفتارهای ما تأثیر می‌گذارند.
161,قدرت عادت,چارلز داهیگ,نقش عادت‌ها در زندگی و چگونگی تغییر آن‌ها,روانشناسی,خودشناسی و رشد فردی,این کتاب به بررسی علم عادت‌ها می‌پردازد و نشان می‌دهد که چگونه عادت‌ها شکل می‌گیرند و چگونه می‌توان آن‌ها را تغییر داد تا به اهداف خود برسیم.
162,جامعه‌شناسی خودمانی,حسن نراقی,تحلیل رفتارهای اجتماعی و فرهنگی ایرانیان,غیرداستانی,علوم اجتماعی,این کتاب به بررسی و تحلیل رفتارهای اجتماعی و فرهنگی ایرانیان پرداخته و تلاش می‌کند تا با نگاهی انتقادی به مسائل و مشکلات جامعه ایرانی بپردازد.
163,توسعه و تضاد,فرامرز رفیع‌پور,بررسی تضادهای اجتماعی در فرآیند توسعه,غیرداستانی,علوم اجتماعی,این کتاب به بررسی تضادهای اجتماعی که در فرآیند توسعه به وجود می‌آیند، پرداخته و تلاش می‌کند تا با تحلیل این تضادها، راهکارهایی برای توسعه پایدار ارائه دهد.
164,سرمایه در قرن بیست و یکم,توماس پیکتی,تحلیل نابرابری‌های اقتصادی و اجتماعی در قرن بیست و یکم,غیرداستانی,علوم اجتماعی,این کتاب به بررسی نابرابری‌های اقتصادی و اجتماعی در قرن بیست و یکم پرداخته و با استفاده از داده‌های تاریخی و اقتصادی، تحلیل جامعی از این نابرابری‌ها ارائه می‌دهد.
165,تاریخ تمدن,ویل دورانت,بررسی جامع تاریخ تمدن بشری از آغاز تا دوران معاصر,تاریخی,تاریخ,این کتاب مجموعه‌ای از 11 جلد است که به بررسی تاریخ تمدن‌های مختلف از دوران باستان تا دوران معاصر می‌پردازد. ویل دورانت و همسرش آریل دورانت در این اثر به تحلیل و بررسی فرهنگ‌ها، هنرها، فلسفه‌ها و دستاوردهای علمی و اجتماعی تمدن‌های مختلف پرداخته‌اند.
166,تاریخ تمدن اسلام,جرجی زیدان,بررسی تاریخ تمدن اسلامی از ظهور اسلام تا دوران معاصر,تاریخی,تاریخ,این کتاب به بررسی تاریخ تمدن اسلامی از زمان ظهور اسلام تا دوران معاصر می‌پردازد. جرجی زیدان در این اثر به تحلیل و بررسی دستاوردهای علمی، فرهنگی، هنری و اجتماعی مسلمانان در طول تاریخ پرداخته است.
167,تاریخ تمدن ایران,حسن پیرنیا,بررسی تاریخ تمدن ایران از دوران باستان تا دوران معاصر,تاریخی,تاریخ,این کتاب به بررسی تاریخ تمدن ایران از دوران باستان تا دوران معاصر می‌پردازد. حسن پیرنیا در این اثر به تحلیل و بررسی فرهنگ‌ها، هنرها، فلسفه‌ها و دستاوردهای علمی و اجتماعی ایرانیان در طول تاریخ پرداخته است.
168,بینوایان,ویکتور هوگو,مبارزه با بی‌عدالتی و فقر,رمان,ادبیات کلاسیک,این کتاب داستان زندگی ژان والژان، مردی که به خاطر دزدیدن یک تکه نان به زندان افتاده و پس از آزادی تلاش می‌کند زندگی جدیدی را آغاز کند، روایت می‌کند.
169,جنایت و مکافات,فیودور داستایوفسکی,تأثیرات روانی و اخلاقی جرم,رمان,ادبیات کلاسیک,این کتاب داستان راسکولنیکوف، دانشجویی که به خاطر فقر و ناامیدی دست به قتل می‌زند و سپس با عواقب روانی و اخلاقی این عمل مواجه می‌شود، روایت می‌کند.
170,غرور و تعصب,جین آستن,تأثیرات اجتماعی و خانوادگی در انتخاب همسر,رمان,ادبیات کلاسیک,این کتاب داستان الیزابت بنت و خانواده‌اش را در جامعه‌ای که ازدواج و موقعیت اجتماعی اهمیت زیادی دارد، روایت می‌کند.
171,انقلاب بلاکچین,دان و الکس تاپ‌اسکات,تاثیر فناوری بلاکچین بر اقتصاد و جامعه,غیرداستانی,فناوری اطلاعات,این کتاب به بررسی چگونگی تغییرات بنیادین فناوری بلاکچین در اقتصاد، تجارت و جامعه می‌پردازد و نشان می‌دهد که چگونه این فناوری می‌تواند به ایجاد یک سیستم اقتصادی جدید کمک کند.
172,هوش مصنوعی: راهنمایی برای انسان‌ها,مکس تگمارک,آینده هوش مصنوعی و تاثیرات آن بر زندگی انسان‌ها,غیرداستانی,فناوری اطلاعات,این کتاب به بررسی پیشرفت‌های هوش مصنوعی و تاثیرات آن بر زندگی انسان‌ها می‌پردازد و به سوالات اخلاقی و اجتماعی مرتبط با این فناوری پاسخ می‌دهد.
